,Unnamed: 0,review,Lemma,Polarity,Analysis,typeof,speaker
0,0,ok exactli girl,  ok exactly girl,0.375,Positive,Statement,Speaker_1
1,1,final keyword becom y17 featur 75233 noth way whi give patient ha ha one person direct indirect object subject ani accid write well enough instructor great enabl hour second portion tangl ever 12 question whi wa tell stain whi interest effort avoid visit request one anoth brilliant engin use one take time tomorrow find smile renew everi day sex youll ever yet find befor program find last week still cant come week awar advis come week taken begin second dont instruct ga exampl class go three week name enhanc end second third week lil bit difficult enough enter class insert queri activ movi free download sinc dont write begin becaus dont allow know confirm date wrong abl find analysi contractor neon 150 mai ke mai last two week decemb session first visit ani resist visit bomb tabl difficult last week outta head request server quest januari session start group begin session wa easi feel floor class 12 ground wa financ option,  finally keyword become feature nothing way give patient one person direct indirect object subject accident writing well enough instructor great enable hour second portion Tangled ever question tell stain interested effort avoid visit request one another brilliant engineering use one take time tomorrow find smile renew every day sex ever yet find program find last week still come week aware advise come week take beginning second instruction gas example class go three week name enhance end second third week Lil bit difficult enough enter class insert query activate movie free download since write beginning allow know confirm date wrong able find analysis contractor neon Mai Ke Mai last two week December session first visit resistance visit bomb table difficult last week Outta Head request server quest January session start group beginning session easy feel floor class ground financing option,0.1048611111111111,Positive,Clarify,Speaker_1
2,2,earli man sex neat ever one befor program find last four week incom week awar advis come week taken begin season dont instruct ga exampl class go three week name inhabit new arriv end second third week difficult enough enter class away princess dont cri begin becaus allow open form date wrong happen analysi instructor near 100 km km last two week decemb session first visit ani resist visit bomb wa wa difficult last week dont head request server quest januari session start west group begin session wa easi feel floor class 12 ground ball finish option take host famili home governor oaxaca base price 11 hour day night equal 5 room breakfast near onlin without itna hotel home hasnt work mofo commun peopl get know becaus way help anoth class 2 class 7 famili wish aadami highest pay 24 hour day come larg medium everyon 14 hour befor alamillo famili purpos invest new light weight even happen 73099 doe use simpl form inform weather possibl come visit even dont enough time come whatsapp think thi,  early man sex neat ever one program find last four week income week aware advise come week take beginning season instruction gas example class go three week name inhabit new arrive end second third week difficult enough enter class away princess cry beginning allow open form date wrong happen analysis instructor near km km last two week December session first visit resistance visit bomb difficult last week head request server quest January session start west group beginning session easy feel floor class ground ball finish option take host family home Governor oaxaca base price hour day night equal room breakfast near online without Itna hotel home work mofo communicate people get know way help another class Class family wish aadami high pay hour day come large medium everyone hour alamillo family purpose invest new light weight even happen use simple form inform weather possible come visit even enough time come WhatsApp thinking,-0.0007559107559107,Negative,Clarify,Speaker_1
3,3,long program find last week incom week awar advis come week begin second dont instruct ga class go three week name inhabit end second third week difficult enough interest concept satna veri creativ 1 week sinc write begin becaus allow open form date happen hear call time saw funnel assist director indian breakfast last week decemb session first week 17 januari session visit bomb wa bit difficult learn wait know head equat quest januari session start west group begin session wa easi feel floor class 12 ground rule influenc veer453 versu take host famili home way go hear ep 11 hour today equal 5 breakfast minut file return onlin without thi itna hotel home matter fact commun peopl get know coffe wa born home classf 2011 classf veri nice famili wa three year aadami highest pay 24 hour day commit larg mid day meal everyon 14 hour befor alamillo famili process light weight even happen 73099 lesson 2 tower simpl form form weather possibl come clean,  long program find last week income week aware advise come week beginning second instruction gas class go three week name inhabit end second third week difficult enough interesting concept Satna creative week since write beginning allow open form date happen hear call time saw funnel assistant director Indian breakfast last week December session first week January session visit bomb bit difficult learn wait know head equation Quest January session start west group beginning session easy feel floor class ground rule influence veer versus take host family home way go hear EP hour today equal breakfast minute file return online without Itna hotel home matter fact communicate people get know coffee bear home classf classf nice family three year aadami high pay hour day commit large mid day meal everyone hour alamillo family process light weight even happen Lesson tower simple form form weather possible come clean,0.109345238095238,Positive,Clarify,Speaker_1
4,4,happen take host famili home go hear ep 11 hour today equal 5 breakfast 2009 thi itna hotel home matter fact commun peopl get know coffe wa born class goa train famou 3 year wish aadami highest pay 24 hour day commit work 1 14 dollar allah miya famili process light weight even happen 730 1 hour simpl form form weather seen possibl come clean,  happen take host family home go hear EP hour today equal breakfast Itna hotel home matter fact communicate people get know coffee bear class Goa train famous year wish aadami high pay hour day commit work dollar Allah Miya family process light weight even happen hour simple form form weather see possible come clean,0.2038095238095238,Positive,Clarify,Speaker_1
5,5,repeat vegetarian,  repeat vegetarian,0.0,Neutral,Statement,Speaker_1
6,6,ok favourit shop cook everyth incorpor program,  OK favourite shopping cooking everything incorporate program,0.5,Positive,Accept,Speaker_1
7,7,ani inform pressur,  information pressure,0.0,Neutral,Statement,Speaker_1
8,8,ok ok name richard gana dress,  ok ok name Richard gana dress,0.5,Positive,Accept,Speaker_1
9,9,micromax 1602 hurst avenu h e r p valu berkeley california,  Micromax hurst Avenue h e r p value Berkeley California,0.0,Neutral,Clarify,Speaker_1
10,10,7311, ,0.0,Neutral,Statement,Speaker_1
11,11,dog partner dog,  dog partner dog,0.0,Neutral,Statement,Speaker_1
12,12,kais ho,  kaise ho,0.0,Neutral,Statement,Speaker_1
